Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,940,0,340,341.8394321372366,233.6178599998675,489.939793999838,747.9734042553191,32.3969773328394,0.0,340,350,360,360,370,380,390,480,490,490,490
,Aggregated,940,0,340,341.8394321372366,233.6178599998675,489.939793999838,747.9734042553191,32.3969773328394,0.0,340,350,360,360,370,380,390,480,490,490,490
