Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,278,0,270,264.4830777014362,184.8213959997338,339.25841099971876,747.5251798561151,9.60575042494958,0.0,270,270,280,280,280,290,300,340,340,340,340
,Aggregated,278,0,270,264.4830777014362,184.8213959997338,339.25841099971876,747.5251798561151,9.60575042494958,0.0,270,270,280,280,280,290,300,340,340,340,340
