Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,1484,0,470,471.83784145351103,299.08052600012525,671.0740580001584,747.3962264150944,51.22127146851046,0.0,470,490,500,510,520,540,610,660,670,670,670
,Aggregated,1484,0,470,471.83784145351103,299.08052600012525,671.0740580001584,747.3962264150944,51.22127146851046,0.0,470,490,500,510,520,540,610,660,670,670,670
