Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,78,0,220,221.61443697434197,179.31400299994493,270.2887870000268,750.6153846153846,2.707482872831903,0.0,220,230,230,230,230,230,240,270,270,270,270
,Aggregated,78,0,220,221.61443697434197,179.31400299994493,270.2887870000268,750.6153846153846,2.707482872831903,0.0,220,230,230,230,230,230,240,270,270,270,270
