request_id,ttft,prefill,decode_total,itl,total,generation_throughput,generated_tokens,uncached_total
0,0.0713177309371531,0.0713177309371531,1.7484122519381344,0.013767025605812081,1.8197299828752875,70.34010606219279,128,8.333651250926778
1,0.06954111182130873,0.06954111182130873,1.7569782179780304,0.013834474157307326,1.8265193297993392,70.07864516498823,128,8.340602078009397
2,0.06953174201771617,0.06953174201771617,1.7464288398623466,0.013751408187892493,1.8159605818800628,70.48611147026203,128,8.346013367874548
3,0.0697750998660922,0.0697750998660922,1.739025310613215,0.01369311268199382,1.8088004104793072,70.76513210547192,128,8.379041942069307
4,0.06952568888664246,0.06952568888664246,1.7793356413021684,0.014010516860646995,1.8488613301888108,69.23180116862972,128,8.38736412092112
5,0.06952538900077343,0.06952538900077343,1.7653908703941852,0.013900715514914844,1.8349162593949586,69.75795181094882,128,8.386844042921439
6,0.06952561996877193,0.06952561996877193,1.773011789424345,0.013960722751372794,1.8425374093931168,69.46941720014239,128,8.390821661101654
7,0.06945010204799473,0.06945010204799473,1.7592695911880583,0.013852516466047703,1.828719693236053,69.9943247034731,128,8.443783504888415
8,0.06944213598035276,0.06944213598035276,1.7528236918151379,0.013801761352875102,1.8222658277954906,70.24222155054602,128,8.457414342090487
9,0.06945134489797056,0.06945134489797056,1.7544547256547958,0.01381460413901414,1.8239060705527663,70.17905256557833,128,8.46154469694011
10,0.06948435981757939,0.06948435981757939,1.7447950197383761,0.013738543462506898,1.8142793795559555,70.55142743855026,128,8.459303393028677
11,0.06937642814591527,0.06937642814591527,1.7489364156499505,0.01377115287913347,1.8183128437958658,70.39492705380131,128,8.481555125908926
12,0.069418742088601,0.069418742088601,1.7800584905780852,0.014016208587229018,1.8494772326666862,69.20874598463804,128,8.504719391930848
13,0.06944871693849564,0.06944871693849564,1.730435735778883,0.013625478234479394,1.7998844527173787,71.11567623507818,128,8.506137127056718
14,0.06951114605180919,0.06951114605180919,1.725278221303597,0.013584867884280292,1.7947893673554063,71.31756089496227,128,8.507000386016443
15,0.06948501919396222,0.06948501919396222,1.7117663617245853,0.013478475289169962,1.7812513809185475,71.85959341347629,128,8.537761186016724
16,0.07004840509034693,0.07004840509034693,1.6944580224808306,0.013342189153392367,1.7645064275711775,72.54153229477917,128,8.546383977867663
17,0.06933348090387881,0.06933348090387881,1.6971681350842118,0.013363528622710329,1.7665016159880906,72.45959972043578,128,8.559103662148118
18,0.06944689806550741,0.06944689806550741,1.6957249380648136,0.013352164866652076,1.765171836130321,72.5141866531287,128,8.562954436056316
19,0.0696002000477165,0.0696002000477165,1.701876477105543,0.01340060218193341,1.7714766771532595,72.25610229635897,128,8.565026740077883
